n_spots,rank_by_buffer,plan_id,R,P_fail,CI_95,n_fail,Z1,Z2,Z3,Z4,Z4_mean,selected,selected_by_day,buffers,Tks,P_fail_day1,P_fail_day2,P_fail_day3,P_fail_day4,P_fail_day5
7,14,S7_buffer_rank14,0.038799999999999946,0.9612,0.005352957718794345,4806,53.00000000000001,6.0,3.9239999999999973,3.6999999999999993,4.7,"A1,A10,A3,A5,A7,A8,A9","A3,A1,A10,A9,A8,A5,A7","4.9000,3.8000,3.8000,7.3000,3.7000","4.6000,8.7000,8.7000,5.2000,4.3000",0.0776,0.5602,0.8026,0.0552,0.44
7,15,S7_buffer_rank15,0.009000000000000008,0.991,0.0026177559244513243,4955,53.00000000000001,6.0,3.9239999999999973,3.6999999999999993,4.7,"A1,A10,A3,A5,A7,A8,A9","A3,A8,A9,A10,A1,A5,A7","4.9000,3.8000,3.8000,7.3000,3.7000","4.6000,8.7000,8.7000,5.2000,4.3000",0.0772,0.8774,0.8462,0.0592,0.441
7,16,S7_buffer_rank16,0.012599999999999945,0.9874,0.003091739561606048,4937,53.00000000000001,6.0,3.9239999999999973,3.6999999999999993,4.7,"A1,A10,A3,A5,A7,A8,A9","A3,A9,A8,A10,A1,A5,A7","4.9000,3.8000,3.8000,7.3000,3.7000","4.6000,8.7000,8.7000,5.2000,4.3000",0.0832,0.7968,0.8572,0.054,0.4342
7,17,S7_buffer_rank17,0.04179999999999995,0.9582,0.005547372041174088,4791,53.00000000000001,6.0,3.9239999999999973,3.6999999999999993,4.7,"A1,A10,A3,A5,A7,A8,A9","A3,A9,A8,A1,A10,A5,A7","4.9000,3.8000,3.8000,7.3000,3.7000","4.6000,8.7000,8.7000,5.2000,4.3000",0.0784,0.7996,0.5584,0.058,0.4442
7,18,S7_buffer_rank18,0.038799999999999946,0.9612,0.005352957718794345,4806,53.00000000000001,6.0,3.9239999999999973,3.6999999999999993,4.7,"A1,A10,A3,A5,A7,A8,A9","A3,A9,A8,A5,A1,A10,A7","4.9000,3.8000,7.3000,3.8000,3.7000","4.6000,8.7000,5.2000,8.7000,4.3000",0.0788,0.7988,0.0598,0.5622,0.4434
7,19,S7_buffer_rank19,0.031200000000000006,0.9688,0.004819094373344436,4844,53.00000000000001,6.0,3.9239999999999973,3.6999999999999993,4.7,"A1,A10,A3,A5,A7,A8,A9","A3,A8,A9,A1,A10,A5,A7","4.9000,3.8000,3.8000,7.3000,3.7000","4.6000,8.7000,8.7000,5.2000,4.3000",0.0818,0.8722,0.5532,0.0556,0.4424
7,20,S7_buffer_rank20,0.014800000000000035,0.9852,0.003347064861516733,4926,53.00000000000001,6.0,3.9239999999999973,3.6999999999999993,4.7,"A1,A10,A3,A5,A7,A8,A9","A3,A9,A8,A5,A10,A1,A7","4.9000,3.8000,7.3000,3.8000,3.7000","4.6000,8.7000,5.2000,8.7000,4.3000",0.0722,0.8076,0.0618,0.8568,0.4414
8,1,S8_buffer_rank01,0.0011999999999999789,0.9988,0.000959623686243719,4994,60.800000000000004,7.8999999999999995,1.6375999999999997,2.1000000000000014,3.520000000000001,"A1,A10,A3,A5,A6,A7,A8,A9","A3,A7,A8,A9,A1,A10,A6,A5","2.1000,3.8000,3.8000,5.1000,2.8000","7.4000,8.7000,8.7000,7.4000,5.2000",0.93,0.8662,0.562,0.217,0.6072
8,2,S8_buffer_rank02,0.00019999999999997797,0.9998,0.0003919607980397824,4999,60.800000000000004,7.8999999999999995,1.6375999999999997,2.1000000000000014,3.520000000000001,"A1,A10,A3,A5,A6,A7,A8,A9","A3,A7,A9,A8,A10,A1,A6,A5","2.1000,3.8000,3.8000,5.1000,2.8000","7.4000,8.7000,8.7000,7.4000,5.2000",0.9266,0.8068,0.8686,0.226,0.5966
8,3,S8_buffer_rank03,0.0026000000000000467,0.9974,0.0014115375151939943,4987,60.800000000000004,7.8999999999999995,1.6375999999999997,2.1000000000000014,3.520000000000001,"A1,A10,A3,A5,A6,A7,A8,A9","A3,A7,A9,A8,A1,A10,A6,A5","2.1000,3.8000,3.8000,5.1000,2.8000","7.4000,8.7000,8.7000,7.4000,5.2000",0.9262,0.7974,0.5668,0.2162,0.6034
8,4,S8_buffer_rank04,0.00039999999999995595,0.9996,0.0005542608310172803,4998,60.800000000000004,7.8999999999999995,1.6375999999999997,2.1000000000000014,3.520000000000001,"A1,A10,A3,A5,A6,A7,A8,A9","A3,A7,A8,A9,A10,A1,A6,A5","2.1000,3.8000,3.8000,5.1000,2.8000","7.4000,8.7000,8.7000,7.4000,5.2000",0.9268,0.869,0.865,0.2168,0.6042
8,5,S8_buffer_rank05,0.00039999999999995595,0.9996,0.0005542608310172803,4998,60.800000000000004,7.8999999999999995,1.933599999999999,2.1000000000000014,3.520000000000001,"A1,A10,A3,A5,A6,A7,A8,A9","A3,A7,A6,A5,A1,A8,A9,A10","2.1000,5.1000,3.6000,3.8000,3.0000","7.4000,7.4000,8.9000,8.7000,5.0000",0.9258,0.2214,0.8848,0.873,0.5608
8,6,S8_buffer_rank06,0.00039999999999995595,0.9996,0.0005542608310172803,4998,60.800000000000004,7.8999999999999995,1.933599999999999,2.1000000000000014,3.520000000000001,"A1,A10,A3,A5,A6,A7,A8,A9","A3,A7,A5,A1,A6,A8,A9,A10","2.1000,3.6000,5.1000,3.8000,3.0000","7.4000,8.9000,7.4000,8.7000,5.0000",0.9282,0.873,0.2256,0.8774,0.5478
8,7,S8_buffer_rank07,0.0006000000000000449,0.9994,0.0006787601968295094,4997,60.800000000000004,7.8999999999999995,1.933599999999999,2.1000000000000014,3.520000000000001,"A1,A10,A3,A5,A6,A7,A8,A9","A3,A7,A6,A5,A1,A9,A8,A10","2.1000,5.1000,3.6000,3.8000,3.0000","7.4000,7.4000,8.9000,8.7000,5.0000",0.928,0.2226,0.8828,0.805,0.563
8,8,S8_buffer_rank08,0.0006000000000000449,0.9994,0.0006787601968295094,4997,60.800000000000004,7.8999999999999995,1.933599999999999,2.1000000000000014,3.520000000000001,"A1,A10,A3,A5,A6,A7,A8,A9","A3,A7,A5,A1,A6,A9,A8,A10","2.1000,3.6000,5.1000,3.8000,3.0000","7.4000,8.9000,7.4000,8.7000,5.0000",0.93,0.8834,0.218,0.804,0.5578
8,9,S8_buffer_rank09,0.0016000000000000458,0.9984,0.0011078560830721808,4992,60.800000000000004,7.9,1.6375999999999997,2.1000000000000014,3.520000000000001,"A1,A10,A3,A5,A6,A7,A8,A9","A3,A7,A6,A8,A9,A1,A10,A5","2.1000,5.1000,3.8000,3.8000,2.8000","7.4000,7.4000,8.7000,8.7000,5.2000",0.933,0.2108,0.8714,0.5558,0.6162
8,10,S8_buffer_rank10,0.0010000000000000009,0.999,0.0008761002682341792,4995,60.800000000000004,7.9,1.6375999999999997,2.1000000000000014,3.520000000000001,"A1,A10,A3,A5,A6,A7,A8,A9","A3,A7,A6,A9,A8,A1,A10,A5","2.1000,5.1000,3.8000,3.8000,2.8000","7.4000,7.4000,8.7000,8.7000,5.2000",0.9262,0.2164,0.8024,0.5676,0.6172
8,11,S8_buffer_rank11,0.00039999999999995595,0.9996,0.0005542608310172803,4998,60.800000000000004,7.9,1.6375999999999997,2.1000000000000014,3.520000000000001,"A1,A10,A3,A5,A6,A7,A8,A9","A3,A7,A6,A8,A9,A10,A1,A5","2.1000,5.1000,3.8000,3.8000,2.8000","7.4000,7.4000,8.7000,8.7000,5.2000",0.925,0.2126,0.8694,0.8582,0.6174
